ind_ID	Rgeno	dose	total	dead
4916A	[RR]	0	168	1
4916A	[RR]	10	106	14
4916A	[RR]	20	111	46
4916A	[RR]	40	106	58
4916A	[RR]	80	137	115
4916A	[RR]	160	138	131
4916A	[RR]	320	135	133
4916A	[RR]	640	137	136
4916A	[RR]	1280	0	0
4916A	[RR]	2560	0	0
4916A	[RR]	5120	0	0
4916A	[RR]	10240	0	0
4916A	[RR]	20480	0	0
4916A	[RR]	40960	0	0
11037_12bis	[RT]	0	59	1
11037_12bis	[RT]	10	0	0
11037_12bis	[RT]	20	29	0
11037_12bis	[RT]	40	30	1
11037_12bis	[RT]	80	30	4
11037_12bis	[RT]	160	30	10
11037_12bis	[RT]	320	45	22
11037_12bis	[RT]	640	30	25
11037_12bis	[RT]	1280	30	30
11037_12bis	[RT]	2560	30	30
11037_12bis	[RT]	5120	0	0
11037_12bis	[RT]	10240	0	0
11037_12bis	[RT]	20480	0	0
11037_12bis	[RT]	40960	0	0
13001_41	[TT]	0	106	0
13001_41	[TT]	10	100	0
13001_41	[TT]	20	0	0
13001_41	[TT]	40	100	0
13001_41	[TT]	80	0	0
13001_41	[TT]	160	0	0
13001_41	[TT]	320	0	0
13001_41	[TT]	640	0	0
13001_41	[TT]	1280	103	2
13001_41	[TT]	2560	107	14
13001_41	[TT]	5120	103	24
13001_41	[TT]	10240	105	90
13001_41	[TT]	20480	105	103
13001_41	[TT]	40960	107	107
